PRECINCTID,CONSOLIDATED WITH,NAME,STREET,CITY,STATE,ZIP
06-002,,THURGOOD MARSHALL MIDDLE SCH - GYM,4909 BRINKLEY RD,TEMPLE HILLS,MD,20748
06-003,,JOHN EAGER HOWARD ELEM SCH,4400 SHELL ST,CAPITOL HEIGHTS,MD,20743
06-004,,WILLIAM BEANES ELEM SCH,5108 DIANNA DR,SUITLAND,MD,20746
06-005,,DISTRICT HEIGHTS ELEM SCH,2200 COUNTY RD,DISTRICT HEIGHTS,MD,20747
06-006,,SUITLAND HIGH SCHOOL,5200 SILVER HILL RD,FORESTVILLE,MD,20747
06-007,,SKYLINE ELEMENTARY SCHOOL,6311 RANDOLPH RD,SUITLAND,MD,20746
06-008,,GREEN VALLEY ACADEMY,2215 CHADWICK ST,TEMPLE HILLS,MD,20748
06-009,"06-024, 06-030",BENJAMIN STODDERT MIDDLE SCH,2501 OLSON ST,TEMPLE HILLS,MD,20748
06-010,06-031,DREW-FREEMAN MIDDLE @ FORESTVILLE HIGH,7001 BELTZ DR,FORESTVILLE,MD,20747
06-011,,CITY OF DISTRICT HEIGHTS YOUTH SERVICES BUREAU,6421 ATWOOD ST,DISTRICT HEIGHTS,MD,20747
06-012,,OVERLOOK ELEMENTARY SCHOOL,3298 CURTIS DR,TEMPLE HILLS,MD,20748
06-013,,PGCPS BLDG,4815 DALTON ST,TEMPLE HILLS,MD,20748
06-014,06-029,TEMPLE HILLS COMMUNITY CENTER,5300 TEMPLE HILL ROAD,TEMPLE HILLS,MD,20748
06-015,,EDGAR ALLAN POE ALT. ELEM SCH,2001 SHADYSIDE AVE,SUITLAND,MD,20746
06-016,,SPAULDINGS BRANCH LIBRARY,5811 OLD SILVER HILL RD,DISTRICT HEIGHTS,MD,20747
06-017,,JESSIE B. MASON SCHOOL,2720 IVERSON ST,TEMPLE HILLS,MD,20748
06-018,06-028,PRINCETON ELEMENTARY SCHOOL,6101 BAXTER DR,SUITLAND,MD,20746
